'https://www.heise.de/newsticker/meldung/Justizministerin-will-Gesetz-gegen-Hetze-im-Netz-verschaerfen-4511144.html';'https://www.techstage.de/news/Pix-vs-Klon-Rucksaecke-mit-LED-Display-im-Vergleich-4510905.html?wt_mc=intern.newsticker.anrissliste.techstage';'https://www.heise.de/mac-and-i/meldung/Safari-13-Apple-streicht-Support-fuer-alte-Erweiterungen-und-macOS-Sierra-4511086.html';'https://www.heise.de/newsticker/meldung/DSGVO-und-Mittelstand-Altmaier-will-noch-weniger-Betriebsdatenschutzbeauftragte-4511018.html';'https://www.heise.de/newsticker/meldung/Abbyys-Finereader-15-verarbeitet-PDFs-4510832.html'
Justizministerin will Gesetz gegen Hetze im Netz verschärfen;Pix vs. Klon: Rucksäcke mit LED-Display im Vergleich;Safari 13: Apple streicht Support für alte Erweiterungen und macOS Sierra;DSGVO und Mittelstand: Altmaier will noch weniger Betriebsdatenschutzbeauftragte;Abbyys Finereader 15 verarbeitet PDFs
'https://www.golem.de/news/kostenanstieg-modernisierung-der-bundes-it-droht-zu-scheitern-1908-143545.html';'https://www.golem.de/news/layjet-micro-rohr-telekom-testet-zehnmal-schnelleres-ftth-verlegeverfahren-1908-143547.html';'https://www.golem.de/news/echion-technologies-neuer-akku-soll-sich-in-sechs-minuten-laden-lassen-1908-143537.html';'https://www.golem.de/news/zenbook-14-und-15-asus-verbessert-das-notebook-mit-dem-display-im-touchpad-1908-143546.html';'https://www.golem.de/news/digitalisierung-unser-gehirn-hat-einen-falschen-algorithmus-entwickelt-1908-143033.html'
Kostenanstieg: Modernisierung der Bundes-IT droht zu scheitern;Layjet Micro-Rohr: Telekom testet zehnmal schnelleres FTTH-Verlegeverfahren;Echion Technologies: Neuer Akku soll sich in sechs Minuten laden lassen;Zenbook 14 und 15: Asus verbessert das Notebook mit dem Display im Touchpad;Digitalisierung: Unser Gehirn hat einen falschen Algorithmus entwickelt
'https://t3n.de/news/depp-trottel-krueppel-forkt-1193328/';'https://t3n.de/news/le-tote-kauft-lord-taylor-1193158/';'https://t3n.de/news/apple-iphone-11-pro-11-pro-max-geruechte-ausstattung-release-1184254/';'https://t3n.de/news/bitkom-vorreiterrolle-flugtaxis-1193260/';'https://t3n.de/news/feathers-4-update-1193192/'
Depp, Trottel, Krüppel: Entwickler forkt GIMP, weil er den Namen für untragbar hält;Le Tote kauft Lord & Taylor: Wieso Pureplayer Kaufhäuser retten;iPhone 11 Pro und 11 Pro Max: So sehen sie aus, das steckt wohl drin;Bitkom-Umfrage: Deutsche sehen in Flugtaxis Chance für die Wirtschaft;Feathers 4: Das bringt das Update des JavaScript-Frameworks
'https://www.spiegel.de/sport/fussball/bundesliga-rb-leipzig-siegt-dank-timo-werner-bei-borussia-moenchengladbach-a-1284567.html';'https://www.spiegel.de/lebenundlernen/schule/greta-thunberg-demonstriert-erstmals-in-den-usa-a-1284569.html';'https://www.spiegel.de/politik/deutschland/dietmar-woidke-aeussert-sich-zu-spiegel-enthuellungen-ueber-andreas-kalbitz-a-1284570.html';'https://www.spiegel.de/kultur/kino/filmfestival-venedig-j-accuse-von-roman-polanski-a-1284543.html';'https://www.spiegel.de/politik/ausland/hongkong-der-stadt-koennte-ein-unruhiges-wochenende-bevorstehen-a-1284530.html'
Fußball-Bundesliga: Überragender Werner schießt Leipzig in Mönchengladbach zum Sieg;Nach Ankunft in New York: Greta Thunberg demonstriert erstmals in den USA;Woidke über Kalbitz-Enthüllungen: "Tief im braunen Sumpf";Polanskis "J'Accuse" in Venedig: Ein wichtiger Film, ein endloser Skandal;Proteste in Hongkong: "Wir werden unseren Kampf fortsetzen"
'https://www.welt.de/politik/ausland/article199471178/Griechenland-Innerhalb-einer-Stunden-landen-13-Boote-mit-Migranten-auf-Lesbos-an.html';'https://www.welt.de/vermischtes/article199452504/Herne-Kobra-lebend-eingefangen.html';'https://www.welt.de/wirtschaft/article199428776/Umwelthilfe-Klage-Braunkohle-Tagebau-Jaenschwalde-muss-Betrieb-vorerst-einstellen.html';'https://www.welt.de/vermischtes/article199422038/Wetter-in-Deutschland-Sommer-war-drittwaermster-seit-Beginn-der-Wetteraufzeichnungen.html';'https://www.welt.de/sport/article199426414/Uli-Hoeness-Am-16-November-werde-ich-aufwachen-und-ohne-Plan-sein.html'
Innerhalb einer Stunde landen 13 Boote mit Migranten auf Lesbos an;Als die Kobra davongefahren wird, klatschen die Nachbarn Beifall;Braunkohle-Tagebau Jänschwalde muss Betrieb vorerst einstellen;Sommer 2019 war drittwärmster seit Beginn der Wetteraufzeichnungen;„Am 16. November werde ich aufwachen und ohne Plan sein“
'https://www.businessinsider.de/minijobs-verdienstgrenze-geringfuegige-beschaeftigung-erhoehung-450-auf-ueber-500-euro-2019-8';'https://www.businessinsider.de/warum-ihr-euch-trotz-iphone-einen-ipod-touch-kaufen-solltet-2019-8';'https://www.businessinsider.de/kopfhoerer-brueder-sennheiser-wir-fuehlen-uns-von-der-politik-verlassen-2019-8';'https://www.businessinsider.de/linke-chefin-kipping-fordert-ruecktritt-des-ostbeauftragten-der-bundesregierung-2019-8';'https://www.businessinsider.de/brexit-lebensmittel-knappheit-grossbritannien-2019-8'
Exklusiv: Wirtschaftsministerium will Verdienstgrenze für Minijobs von 450 auf mehr als 500 Euro erhöhen;Trotz iPhone: Warum Apple weiterhin neue iPods auf den Markt bringt;Unternehmer-Brüder Sennheiser: „Wir fühlen uns von der Politik verlassen“;Linke-Chefin Kipping fordert Rücktritt des Ostbeauftragten der Bundesregierung;Brexit-Chaos: Britische Regierung warnt Händler vor Lebensmittelknappheit
'https://www.netzwelt.de/buzz/164155-vikings-harald-koenig-norwegen-wahrheit-wikingern.html';'https://www.netzwelt.de/video-streaming/kaufberatung-netflixletzte-chance-serien-filme-geloescht.html';'https://www.netzwelt.de/schnaeppchen/index.html';'https://www.netzwelt.de/video-streaming/kaufberatung-amazon-prime-videoletzte-chance-filme-serien-verschwinden-bald.html';'https://www.netzwelt.de/ticketmaster/testbericht.html'
Vikings: Harald wird König von Norwegen! Die Wahrheit hinter den Wikingern;Netflix - Letzte Chance im August: Diese Serien und Filme verschwinden;Technik-Deals im Preischeck: Das sind die besten Angebote;Amazon Prime Video - Letzte Chance: Diese Filme und Serien verschwinden bald;Erfahrungen mit Ticketmaster: Deutsche Live Nation-Tochter im Test
